"","isco08","isco08_l2","cno70","isco08_desc","cno70_desc","major_group","skill_level"
"69","2230",22,7,"Traditional and Complementary Medicine Professionals","07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","3. Technicians and Associate Professionals","High"
"70","2300",23,13,NA,"13 teachers",NA,NA
"71","2310",23,13,"University and Higher Education Teachers","13 teachers","2. Professionals","High"
"72","2321",23,13,NA,"13 teachers",NA,NA
"73","2322",23,13,NA,"13 teachers",NA,NA
"74","2323",23,13,NA,"13 teachers",NA,NA
"75","2331",23,13,NA,"13 teachers","2. Professionals","High"
"76","2332",23,13,NA,"13 teachers","2. Professionals","High"
"77","2340",23,13,NA,"13 teachers","2. Professionals","High"
"78","2352",23,13,"Special Needs Teachers","13 teachers","2. Professionals","High"
"79","2359",23,13,"Teaching Professionals Not Elsewhere Classified","13 teachers","2. Professionals","High"
"80","2400",24,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader",NA,NA
"81","2411",24,11,"Accountants","11 counters","2. Professionals","High"
"82","2412",24,19,"Financial and Investment Advisers","19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","2. Professionals","High"
"83","2419",24,15,NA,"15 Writers, journalists, publicists","2. Professionals","High"
"84","2420",24,12,NA,"12 Lawyers, judges, magistrates, prosecutors, notaries",NA,NA
"85","2421",24,12,"Management and Organization Analysts","12 Lawyers, judges, magistrates, prosecutors, notaries","2. Professionals","High"
"86","2422",24,12,"Policy Administration Professionals","12 Lawyers, judges, magistrates, prosecutors, notaries","2. Professionals","High"
"87","2429",24,12,NA,"12 Lawyers, judges, magistrates, prosecutors, notaries","2. Professionals","High"
"88","2432",24,19,"Public Relations Professionals","19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","2. Professionals","High"
"89","2441",24,9,NA,"09 economists","2. Professionals","High"
"90","2442",24,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","2. Professionals","High"
"91","2443",24,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","2. Professionals","High"
"92","2444",24,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","2. Professionals","High"
"93","2445",24,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","2. Professionals","High"
"94","2446",24,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","2. Professionals","High"
"95","2450",24,16,NA,"16 Sculptors, painters, photographers, decorators, film and TV camera operators, designer",NA,NA
"96","2451",24,15,NA,"15 Writers, journalists, publicists","2. Professionals","High"
"97","2452",24,16,NA,"16 Sculptors, painters, photographers, decorators, film and TV camera operators, designer","2. Professionals","High"
"98","2453",24,17,NA,"17 Composers, musicians, singers, choreographers, dancers, actors, directors, artists, business people and show producers, recreationists, announcer","2. Professionals","High"
"99","2454",24,17,NA,"17 Composers, musicians, singers, choreographers, dancers, actors, directors, artists, business people and show producers, recreationists, announcer","2. Professionals","High"
"100","2455",24,17,NA,"17 Composers, musicians, singers, choreographers, dancers, actors, directors, artists, business people and show producers, recreationists, announcer","2. Professionals","High"
"101","2460",24,14,NA,"14 Priests, pastors, nuns","2. Professionals","High"
"102","3100",31,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader",NA,NA
"103","3110",31,3,NA,"03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer",NA,NA
"104","3111",31,1,"Chemical and Physical Science Technicians","01 Chemicals, Physical (Professionals and Technicians)","3. Technicians and Associate Professionals","High"
"105","3112",31,3,"Civil Engineering Technicians","03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","3. Technicians and Associate Professionals","High"
"106","3113",31,3,"Electrical Engineering Technicians","03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","3. Technicians and Associate Professionals","High"
"107","3114",31,3,"Electronics Engineering Technicians","03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","3. Technicians and Associate Professionals","High"
"108","3115",31,3,"Mechanical Engineering Technicians","03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","3. Technicians and Associate Professionals","High"
"109","3116",31,3,"Chemical Engineering Technicians","03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","3. Technicians and Associate Professionals","High"
"110","3117",31,3,"Mining and metallurgical technicians","03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","3. Technicians and Associate Professionals","High"
"111","3118",31,3,"Draughtspersons","03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","3. Technicians and Associate Professionals","High"
"112","3119",31,3,"Physical and Engineering Science Technicians Not Elsewhere Classified","03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","3. Technicians and Associate Professionals","High"
"113","3120",31,34,NA,"34 Operators of accounting and calculating machines, data entry, transcriber",NA,NA
"114","3121",31,70,"Mining Supervisors","70 Manufacturing supervisor (machinery and metal products, electrical and electronic equipment, paper products, cardboard, rubber, chemical products, plastics, other synthetic materials, fabrics and clothing, leather goods, footwear, wood, ceramics and glass, tobacco products)",NA,NA
"115","3122",31,34,"Manufacturing Supervisors","34 Operators of accounting and calculating machines, data entry, transcriber","3. Technicians and Associate Professionals","High"
"116","3130",31,86,NA,"86 Radio and TV station operators, sound equipment, DJ",NA,NA
"117","3131",31,16,"Power Production Plant Operators","16 Sculptors, painters, photographers, decorators, film and TV camera operators, designer","3. Technicians and Associate Professionals","High"
"118","3132",31,38,"Incinerator and Water Treatment Plant Operators","38 Telephone operators, telegraphs","3. Technicians and Associate Professionals","High"
"119","3132",31,86,"Incinerator and Water Treatment Plant Operators","86 Radio and TV station operators, sound equipment, DJ","3. Technicians and Associate Professionals","High"
"120","3133",31,7,"Chemical Processing Plant Controllers","07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","3. Technicians and Associate Professionals","High"
"121","3139",31,86,"Process Control Technicians Not Elsewhere Classified","86 Radio and TV station operators, sound equipment, DJ",NA,NA
"122","3140",31,4,NA,"04 Pilots, Flight Engineer, Deck Officers, Engineers – Maritime and fluvial navigation",NA,NA
"123","3141",31,4,"Life Science Technicians (excluding Medical)","04 Pilots, Flight Engineer, Deck Officers, Engineers – Maritime and fluvial navigation","3. Technicians and Associate Professionals","High"
"124","3142",31,4,"Agricultural Technicians","04 Pilots, Flight Engineer, Deck Officers, Engineers – Maritime and fluvial navigation","3. Technicians and Associate Professionals","High"
"125","3143",31,4,"Forestry Technicians","04 Pilots, Flight Engineer, Deck Officers, Engineers – Maritime and fluvial navigation","3. Technicians and Associate Professionals","High"
"126","3211",32,5,"Medical Imaging and Therapeutic Equipment Technicians","05 Biologists, agronomists, zoologists, bacteriologists, pharmacologists, technicians in biological and agronomic sciences","3. Technicians and Associate Professionals","High"
"127","3212",32,5,"Medical and Pathology Laboratory Technicians","05 Biologists, agronomists, zoologists, bacteriologists, pharmacologists, technicians in biological and agronomic sciences","3. Technicians and Associate Professionals","High"
"128","3213",32,5,"Pharmaceutical Technicians and Assistants","05 Biologists, agronomists, zoologists, bacteriologists, pharmacologists, technicians in biological and agronomic sciences","2. Professionals","High"
"129","3220",32,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,",NA,NA
"130","3221",32,6,"Nursing Associate Professionals","06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","3. Technicians and Associate Professionals","High"
"131","3222",32,7,"Midwifery Associate Professionals","07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","2. Professionals","High"
"132","3223",32,6,NA,"06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","2. Professionals","High"
"133","3224",32,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","3. Technicians and Associate Professionals","High"
"134","3225",32,6,NA,"06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","3. Technicians and Associate Professionals","High"
"135","3226",32,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","2. Professionals","High"
"136","3226",32,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","3. Technicians and Associate Professionals","High"
"137","3227",32,6,NA,"06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","3. Technicians and Associate Professionals","High"
"138","3228",32,6,NA,"06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","3. Technicians and Associate Professionals","High"
"139","3229",32,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","2. Professionals","High"
"140","3231",32,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","3. Technicians and Associate Professionals","High"
"141","3232",32,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","3. Technicians and Associate Professionals","High"
"142","3241",32,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","2. Professionals","High"
"143","3242",32,14,NA,"14 Priests, pastors, nuns","3. Technicians and Associate Professionals","High"
"144","3300",33,13,NA,"13 teachers",NA,NA
"145","3340",33,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","2. Professionals","High"
"146","3340",33,98,NA,"98 Drivers of transport vehicles, taxi drivers, drivers","3. Technicians and Associate Professionals","High"
"147","3400",34,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader",NA,NA
"148","3410",34,44,NA,"44 Insurance, real estate, exchange and stock agent, auctioneers, intangibles sales managers, real estate brokers, health promoter",NA,NA
"149","3411",34,44,"Legal and Related Associate Professionals","44 Insurance, real estate, exchange and stock agent, auctioneers, intangibles sales managers, real estate brokers, health promoter","3. Technicians and Associate Professionals","High"
"150","3412",34,44,"Social Work Associate Professionals","44 Insurance, real estate, exchange and stock agent, auctioneers, intangibles sales managers, real estate brokers, health promoter","3. Technicians and Associate Professionals","High"
"151","3413",34,44,"Religious Associate Professionals","44 Insurance, real estate, exchange and stock agent, auctioneers, intangibles sales managers, real estate brokers, health promoter","3. Technicians and Associate Professionals","High"
"152","3414",34,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","4. Clerical Support Workers","Medium"
"153","3415",34,43,NA,"43 Sales agents, commercial representative, commission agent","2. Professionals","High"
"154","3416",34,42,NA,"42 sales managers, buyers","3. Technicians and Associate Professionals","High"
"155","3417",34,44,NA,"44 Insurance, real estate, exchange and stock agent, auctioneers, intangibles sales managers, real estate brokers, health promoter","3. Technicians and Associate Professionals","High"
"156","3421",34,41,"Athletes and Sports Players","41 Trader, owner","3. Technicians and Associate Professionals","High"
"157","3423",34,41,"Fitness and Recreation Instructors and Programme Leaders","41 Trader, owner","3. Technicians and Associate Professionals","High"
"158","3429",34,44,NA,"44 Insurance, real estate, exchange and stock agent, auctioneers, intangibles sales managers, real estate brokers, health promoter","3. Technicians and Associate Professionals","High"
"159","3429",34,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","3. Technicians and Associate Professionals","High"
"160","3430",34,33,NA,"33 Accounting clerks, tellers, bank clerks",NA,NA
"161","3432",34,39,"Interior Designers and Decorators","39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","3. Technicians and Associate Professionals","High"
"162","3432",34,58,"Interior Designers and Decorators","58 Firefighters, police officers, public and private detective, guards, prison guard","3. Technicians and Associate Professionals","High"
"163","3433",34,33,"Gallery, Museum and Library Technicians","33 Accounting clerks, tellers, bank clerks","3. Technicians and Associate Professionals","High"
"164","3434",34,8,"Chefs","08 Statesmen, mathematicians, systems analysts, technicians","3. Technicians and Associate Professionals","High"
"165","3440",34,31,NA,"31 administrative agents",NA,NA
"166","3441",34,31,NA,"31 administrative agents","3. Technicians and Associate Professionals","High"
"167","3442",34,31,NA,"31 administrative agents","3. Technicians and Associate Professionals","High"
"168","3444",34,31,NA,"31 administrative agents","3. Technicians and Associate Professionals","High"
"169","3450",34,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","3. Technicians and Associate Professionals","High"
"170","3451",34,58,NA,"58 Firefighters, police officers, public and private detective, guards, prison guard",NA,NA
"171","3452",34,58,NA,"58 Firefighters, police officers, public and private detective, guards, prison guard",NA,NA
"172","3460",34,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","3. Technicians and Associate Professionals","High"
"173","3470",34,17,NA,"17 Composers, musicians, singers, choreographers, dancers, actors, directors, artists, business people and show producers, recreationists, announcer",NA,NA
"174","3471",34,16,NA,"16 Sculptors, painters, photographers, decorators, film and TV camera operators, designer","2. Professionals","High"
"175","3471",34,16,NA,"16 Sculptors, painters, photographers, decorators, film and TV camera operators, designer","3. Technicians and Associate Professionals","High"
"176","3472",34,17,NA,"17 Composers, musicians, singers, choreographers, dancers, actors, directors, artists, business people and show producers, recreationists, announcer","2. Professionals","High"
"177","3473",34,17,NA,"17 Composers, musicians, singers, choreographers, dancers, actors, directors, artists, business people and show producers, recreationists, announcer","2. Professionals","High"
"178","3474",34,17,NA,"17 Composers, musicians, singers, choreographers, dancers, actors, directors, artists, business people and show producers, recreationists, announcer","2. Professionals","High"
"179","3475",34,18,NA,"18 Athletes, sportsmen, physical education teachers","3. Technicians and Associate Professionals","High"
"180","3480",34,14,NA,"14 Priests, pastors, nuns","3. Technicians and Associate Professionals","High"
"181","4100",41,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant",NA,NA
"182","4110",41,32,"General Office Clerks","32 Secretaries, typists, stenographers, teletypewriters, card and tape punching machine operators",NA,NA
"183","4111",41,32,NA,"32 Secretaries, typists, stenographers, teletypewriters, card and tape punching machine operators","4. Clerical Support Workers","Medium"
"184","4111",41,32,NA,"32 Secretaries, typists, stenographers, teletypewriters, card and tape punching machine operators","3. Technicians and Associate Professionals","High"
"185","4113",41,32,NA,"32 Secretaries, typists, stenographers, teletypewriters, card and tape punching machine operators","4. Clerical Support Workers","Medium"
"186","4114",41,34,NA,"34 Operators of accounting and calculating machines, data entry, transcriber","3. Technicians and Associate Professionals","High"
"187","4115",41,32,NA,"32 Secretaries, typists, stenographers, teletypewriters, card and tape punching machine operators","3. Technicians and Associate Professionals","High"
"188","4120",41,33,"Secretaries (general)","33 Accounting clerks, tellers, bank clerks",NA,NA
"189","4121",41,33,NA,"33 Accounting clerks, tellers, bank clerks","4. Clerical Support Workers","Medium"
"190","4131",41,39,"Typists and Word Processing Operators","39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","4. Clerical Support Workers","Medium"
"191","4131",41,39,"Typists and Word Processing Operators","39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","3. Technicians and Associate Professionals","High"
"192","4132",41,39,"Data Entry Clerks","39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","4. Clerical Support Workers","Medium"
"193","4133",41,35,NA,"35 Heads of railway stations and post offices","3. Technicians and Associate Professionals","High"
"194","4133",41,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","3. Technicians and Associate Professionals","High"
"195","4141",41,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","4. Clerical Support Workers","Medium"
"196","4141",41,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","3. Technicians and Associate Professionals","High"
"197","4142",41,37,NA,"37 Postmen and messengers","4. Clerical Support Workers","Medium"
"198","4143",41,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","3. Technicians and Associate Professionals","High"
"199","4143",41,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","4. Clerical Support Workers","Medium"
"200","4190",41,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","4. Clerical Support Workers","Medium"
"201","4211",42,33,"Bank Tellers and Related Clerks","33 Accounting clerks, tellers, bank clerks","5. Services and Sales Workers","Medium"
"202","4211",42,33,"Bank Tellers and Related Clerks","33 Accounting clerks, tellers, bank clerks","4. Clerical Support Workers","Medium"
"203","4212",42,33,"Bookmakers, Croupiers and Related Gaming Workers","33 Accounting clerks, tellers, bank clerks","4. Clerical Support Workers","Medium"
"204","4213",42,59,"Pawnbrokers and Money-lenders","59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker","4. Clerical Support Workers","Medium"
"205","4213",42,45,"Pawnbrokers and Money-lenders","45 Vendors, street vendors, home delivery, lottery and newspaper vendors, merchandisers",NA,NA
"206","4213",42,49,"Pawnbrokers and Money-lenders","49 Lender",NA,NA
"207","4215",42,33,NA,"33 Accounting clerks, tellers, bank clerks","4. Clerical Support Workers","Medium"
"208","4221",42,39,"Travel Consultants and Clerks","39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","4. Clerical Support Workers","Medium"
